id,topicId,categoryId,name,description,icon,color,adult
1,,1,Daily Life,,,,FALSE
2,,1,Expressing Love ,,,,FALSE
3,,1,Get to Know Each Other part 1,,,,FALSE
4,,1,Get to Know Each Other part 2,,,,FALSE
5,,1,Commitment Check,,,,FALSE
6,,2,Travel & Lifestyle,,,,FALSE
7,,2,Food & Drink,,,,FALSE
8,,2,Entertainment & Hobbies,,,,FALSE
9,,2,Love & Relationship Preferences,,,,FALSE
10,,2,Personality & Habits,,,,FALSE
11,,3,Holiday Habits,,,,FALSE
12,,3,Relationship Building,,,,FALSE
13,,3,Love & Surprises,,,,FALSE
14,,3,Living Together Edition,,,,FALSE
15,,3,Relationship Revelations,,,,FALSE
16,,4,Romantic & Love Life,,,,FALSE
17,,4,Funny & Silly,,,,FALSE
18,,4,Deep & Thought-Provoking,,,,FALSE
19,,4,Future & Dreams,,,,FALSE
20,,4,Challenges & Dares,,,,FALSE
21,,5,Personal Values & Beliefs,,,,FALSE
22,,5,Regrets & Lessons Learned,,,,FALSE
23,,5,Fears & Vulnerabilities,,,,FALSE
24,,5,Relationships & Love,,,,FALSE
25,,5,Philosophy & Life Perspectives,,,,FALSE
26,,6,Discuss Before Moving Together,,,,FALSE
27,,6,Discuss Before Getting Married,,,,FALSE
28,,6,Discuss Before Combining Finances,,,,FALSE
29,,6,Discuss Before Traveling Together,,,,FALSE
30,,6,Discuss Before Having Kids,,,,FALSE
31,,7,Love & Relationship,,,,FALSE
32,,7,Memories & Firsts,,,,FALSE
33,,7,Fun & Playful,,,,FALSE
34,,7,Travel & Life Together,,,,FALSE
35,,7,Spicy & Flirty,,,,FALSE
36,1,,Tell Me About a Time...,,,,FALSE
37,1,,Favorites & Top Fives Part 1,,,,FALSE
38,1,,Favorites & Top Fives Part 2,,,,FALSE
39,1,,Desires & Bucket List,,,,FALSE
40,1,,Compatibility,,,,FALSE
41,2,,Deep Communication,,,,FALSE
42,2,,Love Languages in Action,,,,FALSE
43,2,,Conflict Navigator,,,,FALSE
44,2,,Shared Goals & Dreams,,,,FALSE
45,2,,Confessions,,,,FALSE
46,3,,Emotional Intimacy,,,,FALSE
47,3,,Physical Intimacy,,,,TRUE
48,3,,Sexual Intimacy,,,,TRUE
49,3,,Favorites,,,,FALSE
50,3,,Sex-Life,,,,TRUE
51,4,,Honesty and Integrity,,,,FALSE
52,4,,Respect and Tolerance,,,,FALSE
53,4,,Responsibility and Accountability,,,,FALSE
54,4,,Loyalty and Fidelity,,,,FALSE
55,4,,Humility and Modesty,,,,FALSE
56,5,,Financial Intimacy & Money Talks,,,,FALSE
57,5,,Budgeting & Cash Flow Management,,,,FALSE
58,5,,Financial Goal Setting (Short & Long Term),,,,FALSE
59,5,,Bill Payment & Expense Splitting,,,,FALSE
60,5,,Investing & Building Wealth,,,,FALSE
61,6,,Personal History & Upbringing,,,,FALSE
62,6,,Interests & Passions,,,,FALSE
63,6,,The Memory Lane Time Machine,,,,FALSE
64,6,,"The ""Superpower"" Compromise",,,,FALSE
65,6,,"The ""Third Wheel"" Test",,,,FALSE
66,7,,Couples & Romantic Adventures,,,,FALSE
67,7,,Personal Growth & Challenges,,,,FALSE
68,7,,Extreme Sports & Adrenaline Adventures,,,,FALSE
69,7,,Erotic or Sexual Adventures,,,,TRUE
70,7,,Wilderness & Survival Adventures,,,,FALSE
71,8,,Get to Know Family,,,,FALSE
72,8,,Sibling Relationships & Dynamics,,,,FALSE
73,8,,Communication Within the Family,,,,FALSE
74,8,,Extended Family Relationships,,,,FALSE
75,8,,Family Traditions & Rituals,,,,FALSE
76,9,,Boundary Setting & Digital Detox,,,,FALSE
77,9,,Managing Stress & Burnout as a Team,,,,FALSE
78,9,,Remote & Hybrid Work Dynamics,,,,FALSE
79,9,,Dual-Career Couples & Goal Alignment,,,,FALSE
80,9,,Shared Calendar & Time Sync,,,,FALSE
81,10,,Health & Wellness,,,,FALSE
82,10,,Fashion & Personal Style,,,,FALSE
83,10,,Personal Development & Self-Improvement,,,,FALSE
84,10,,Relationships & Social Life,,,,FALSE
85,10,,Home & Interiors,,,,FALSE
86,11,,Daily Questions,,,,FALSE
